Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Girgaon,2 BHK Apartment,100000,1200 sq.ft,Fully Furnished,2,Missing,1,Missing,Kilimani
Juhu,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,Missing,1,Missing,Kilimani
Khar,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,4,3,2,1400 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1500 sq.ft,Fully Furnished,3,Missing,1,1400 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,1600 sq.ft,Fully Furnished,4,1,3,1400 sq.ft,Kilimani
Prabhadevi,2 BHK Apartment,100000,1650 sq.ft,Fully Furnished,2,2,2,1120 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,Missing,1,1250 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1000 sq.ft,Fully Furnished,3,2,1,950 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,1400 sq.ft,Fully Furnished,3,3,1,1200 sq.ft,Kilimani
Bandra,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,4,3,0,1300 sq.ft,Kilimani
Juhu,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,3,1,Missing,Kilimani
Khar,2 BHK Apartment,100000,1010 sq.ft,Fully Furnished,2,Missing,1,900 sq.ft,Kilimani
Khar,3 BHK Apartment,100000,2500 sq.ft,Fully Furnished,4,3,2,2200 sq.ft,Kilimani
Lokhandwala,3 BHK Apartment,100000,1800 sq.ft,Fully Furnished,3,3,2,Missing,Kilimani
Mahalakshmi,3 BHK Apartment,100000,1172 sq.ft,Fully Furnished,6,Missing,0,900 sq.ft,Kilimani
Nariman Point,3 BHK Apartment,100000,2000 sq.ft,Fully Furnished,3,2,1,Missing,Kilimani
Powai,3 BHK Apartment,100000,2410 sq.ft,Fully Furnished,3,1,2,1800 sq.ft,Kilimani
