Locality,Type,Rent/Month,Build_up_area(sq.ft),Furnishing,Bathrooms,Balcony,Parking,Carpet_area(sq.ft),
Vile Parle,1 BHK Apartment,40000,500 sq.ft,Unfurnished,2,Missing,2,450 sq.ft,
Vile Parle,1 BHK Apartment,40000,530 sq.ft,Unfurnished,2,Missing,1,435 sq.ft,
Vile Parle,1 BHK Apartment,40000,500 sq.ft,Unfurnished,2,Missing,0,450 sq.ft,
Vile Parle,2 BHK Apartment,40000,800 sq.ft,Unfurnished,2,Missing,2,650 sq.ft,
Vile Parle,1 BHK Apartment,15000,600 sq.ft,Unfurnished,1,Missing,1,475 sq.ft,Ruaka
Vile Parle,1 BHK Apartment,40000,550 sq.ft,Unfurnished,1,Missing,0,450 sq.ft,
Vile Parle,1 BHK Apartment,40000,640 sq.ft,Unfurnished,2,Missing,0,450 sq.ft,
Vile Parle,1 BHK Apartment,15000,750 sq.ft,Unfurnished,1,Missing,1,600 sq.ft,Ruaka
Vile Parle,2 BHK Apartment,18000,800 sq.ft,Unfurnished,2,Missing,1,600 sq.ft,Ruaka
Vile Parle,2 BHK Apartment,40000,650 sq.ft,Unfurnished,1,Missing,1,Missing,
Vile Parle,1 BHK Apartment,40000,600 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,
Vile Parle,2 BHK Apartment,40000,450 sq.ft,Unfurnished,1,Missing,0,Missing,
Vile Parle,1 BHK Apartment,40000,600 sq.ft,Unfurnished,Missing,Missing,0,464 sq.ft,
Vile Parle,1 RK Apartment,13000,1000 sq.ft,Unfurnished,1,Missing,1,500 sq.ft,Ruaka
Vile Parle,1 BHK Apartment,40000,675 sq.ft,Unfurnished,1,Missing,1,Missing,
Vile Parle,1 BHK Apartment,15000,650 sq.ft,Unfurnished,1,Missing,1,550 sq.ft,Ruaka
Vile Parle,2 BHK Apartment,18000,1200 sq.ft,Unfurnished,2,Missing,1,950 sq.ft,Ruaka
Wadala,1 BHK Apartment,15000,550 sq.ft,Unfurnished,1,Missing,1,400 sq.ft,Ruaka
Wadala,1 BHK Apartment,15000,600 sq.ft,Unfurnished,2,1,1,500 sq.ft,Ruaka
Wadala,2 BHK Apartment,18000,570 sq.ft,Unfurnished,2,Missing,1,550 sq.ft,Ruaka
Worli,1 BHK Apartment,15000,500 sq.ft,Unfurnished,1,Missing,2,350 sq.ft,Ruaka
Worli,1 BHK Apartment,40000,550 sq.ft,Unfurnished,1,Missing,2,450 sq.ft,
Worli,1 BHK Apartment,15000,450 sq.ft,Unfurnished,1,1,2,Missing,Ruaka
Worli,1 BHK Apartment,15000,500 sq.ft,Unfurnished,1,1,2,400 sq.ft,Ruaka
Worli,1 BHK Apartment,40000,550 sq.ft,Unfurnished,1,1,1,450 sq.ft,
Worli,1 BHK Apartment,15000,510 sq.ft,Unfurnished,1,Missing,0,450 sq.ft,Ruaka
Dadar,1 BHK Apartment,39900,570 sq.ft,Unfurnished,1,1,0,460 sq.ft,
Chembur,2 BHK Apartment,39700,1123 sq.ft,Unfurnished,2,1,0,721 sq.ft,
Chembur,2 BHK Apartment,39500,1112 sq.ft,Unfurnished,2,1,1,715 sq.ft,
Ghatkopar,2 BHK Apartment,18000,834 sq.ft,Unfurnished,2,Missing,1,640 sq.ft,Ruaka
Powai,2 BHK Apartment,39500,970 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Vikhroli,2 BHK Apartment,39500,830 sq.ft,Unfurnished,Missing,Missing,1,645 sq.ft,
Vile Parle,1 BHK Apartment,39500,600 sq.ft,Unfurnished,2,1,1,450 sq.ft,
Bhandup,2 BHK Apartment,39278,958 sq.ft,Unfurnished,2,Missing,0,737 sq.ft,
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,Missing,1,425 sq.ft,Kawangware
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,1,1,450 sq.ft,Kawangware
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,1,1,460 sq.ft,Kawangware
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,Missing,1,450 sq.ft,Kawangware
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,Missing,1,400 sq.ft,Kawangware
Bhandup,2 BHK Apartment,39000,1400 sq.ft,Unfurnished,2,1,1,802 sq.ft,
Chembur,2 BHK Apartment,39000,1150 sq.ft,Unfurnished,2,Missing,1,777 sq.ft,
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,751 sq.ft,
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,751 sq.ft,
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Chembur,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Dadar,1 BHK Apartment,39000,700 sq.ft,Unfurnished,2,1,1,600 sq.ft,
Dadar,1 BHK Apartment,39000,500 sq.ft,Unfurnished,1,1,1,400 sq.ft,
Goregaon,2 BHK Apartment,18000,1025 sq.ft,Unfurnished,2,1,1,740 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,1010 sq.ft,Unfurnished,2,3,1,740 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,1010 sq.ft,Unfurnished,2,Missing,1,745 sq.ft,Ruaka
Govandi,2 BHK Apartment,39000,1250 sq.ft,Unfurnished,2,1,1,800 sq.ft,
Govandi,2 BHK Apartment,39000,950 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Jogeshwari,2 BHK Apartment,39000,1100 sq.ft,Unfurnished,2,Missing,0,650 sq.ft,
Jogeshwari,2 BHK Apartment,39000,1150 sq.ft,Unfurnished,2,3,1,Missing,
Jogeshwari,2 BHK Apartment,39000,850 sq.ft,Unfurnished,2,Missing,0,640 sq.ft,
Jogeshwari,2 BHK Apartment,39000,1150 sq.ft,Unfurnished,2,Missing,1,Missing,
Khar,2 BHK Apartment,18000,650 sq.ft,Unfurnished,1,Missing,1,Missing,Ruaka
Kurla,2 BHK Apartment,39000,1500 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,
Kurla,2 BHK Apartment,39000,1150 sq.ft,Unfurnished,2,Missing,1,777 sq.ft,
Kurla,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,751 sq.ft,
Kurla,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,751 sq.ft,
Kurla,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Kurla,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Lalbaug,1 BHK Apartment,15000,570 sq.ft,Unfurnished,2,3,3,470 sq.ft,Ruaka
Malad,2 BHK Apartment,18000,950 sq.ft,Unfurnished,2,2,2,800 sq.ft,Ruaka
Malad,3 BHK Apartment,39000,1500 sq.ft,Unfurnished,3,3,2,1250 sq.ft,
Mulund,2 BHK Apartment,39000,1100 sq.ft,Unfurnished,2,Missing,1,720 sq.ft,
Parel,1 BHK Apartment,15000,570 sq.ft,Unfurnished,2,3,3,470 sq.ft,Ruaka
Powai,2 BHK Apartment,39000,950 sq.ft,Unfurnished,2,Missing,1,850 sq.ft,
Powai,2 BHK Apartment,39000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,
Santacruz,1 BHK Apartment,39000,550 sq.ft,Unfurnished,2,1,1,Missing,
Vikhroli,2 BHK Apartment,39000,1000 sq.ft,Unfurnished,2,Missing,1,800 sq.ft,
Vikhroli,2 BHK Apartment,39000,1050 sq.ft,Unfurnished,2,Missing,1,649 sq.ft,
Vikhroli,1 BHK Apartment,39000,730 sq.ft,Unfurnished,2,Missing,0,528 sq.ft,
Vile Parle,1 BHK Apartment,39000,675 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,
Chembur,2 BHK Apartment,38900,1142 sq.ft,Unfurnished,2,1,1,700 sq.ft,
Chembur,2 BHK Apartment,38700,1125 sq.ft,Unfurnished,2,2,1,700 sq.ft,
Chembur,2 BHK Apartment,38700,1122 sq.ft,Unfurnished,2,1,1,700 sq.ft,
Andheri,1 BHK Apartment,11000,600 sq.ft,Unfurnished,2,Missing,0,500 sq.ft,Kawangware
Bandra,1 BHK Apartment,15000,625 sq.ft,Unfurnished,2,Missing,1,525 sq.ft,Ruaka
Bhandup,2 BHK Apartment,18000,960 sq.ft,Unfurnished,2,Missing,0,714 sq.ft,Ruaka
Powai,2 BHK Apartment,38500,970 sq.ft,Unfurnished,2,1,1,650 sq.ft,
Powai,2 BHK Apartment,38500,1000 sq.ft,Unfurnished,2,1,1,700 sq.ft,
Malad,2 BHK Apartment,18000,1000 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,Ruaka
Andheri,2 BHK Apartment,41253,605 sq.ft,Unfurnished,2,Missing,1,525 sq.ft,Langata
Andheri,1 BHK Apartment,11000,610 sq.ft,Unfurnished,2,Missing,1,488 sq.ft,Githurai
Andheri,1 BHK Apartment,11000,615 sq.ft,Unfurnished,2,Missing,1,450 sq.ft,Kawangware
Andheri,1 BHK Apartment,22000,620 sq.ft,Unfurnished,1,Missing,0,485 sq.ft,Langata
Andheri,1 BHK Apartment,22000,620 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Langata
Andheri,2 BHK Apartment,32000,620 sq.ft,Unfurnished,2,Missing,1,Missing,Langata
Andheri,1 BHK Apartment,22000,625 sq.ft,Unfurnished,2,Missing,1,525 sq.ft,Langata
Andheri,1 BHK Apartment,11000,625 sq.ft,Unfurnished,1,1,2,475 sq.ft,Githurai
Andheri,1 BHK Apartment,20000,625 sq.ft,Unfurnished,2,Missing,1,428 sq.ft,Dagoreti
Andheri,1 BHK Apartment,22000,626 sq.ft,Unfurnished,2,1,1,501 sq.ft,Langata
Bandra,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,1,0,700 sq.ft,
Bandra,1 BHK Apartment,15000,650 sq.ft,Unfurnished,1,1,0,480 sq.ft,Ruaka
Bandra,1 RK Apartment,13000,400 sq.ft,Unfurnished,1,Missing,0,300 sq.ft,Ruaka
Bandra,1 BHK Apartment,15000,600 sq.ft,Unfurnished,1,1,1,500 sq.ft,Ruaka
Bandra,1 BHK Apartment,15000,620 sq.ft,Unfurnished,1,Missing,0,485 sq.ft,Ruaka
Bandra,1 BHK Apartment,38000,650 sq.ft,Unfurnished,2,1,2,450 sq.ft,
Bandra,2 BHK Apartment,38000,1300 sq.ft,Unfurnished,2,Missing,2,850 sq.ft,
Bandra,1 BHK Apartment,38000,750 sq.ft,Unfurnished,1,1,1,500 sq.ft,
Bandra,1 BHK Apartment,15000,700 sq.ft,Unfurnished,2,Missing,2,415 sq.ft,Ruaka
Bhandup,2 BHK Apartment,18000,740 sq.ft,Unfurnished,2,1,1,616 sq.ft,Ruaka
Bhandup,2 BHK Apartment,18000,940 sq.ft,Unfurnished,2,Missing,0,Missing,Ruaka
Bhandup,2 BHK Apartment,38000,863 sq.ft,Unfurnished,2,Missing,0,664 sq.ft,
Byculla,1 BHK Apartment,38000,350 sq.ft,Unfurnished,1,Missing,0,350 sq.ft,
Byculla,1 BHK Apartment,15000,510 sq.ft,Unfurnished,1,1,3,423 sq.ft,Ruaka
Chembur,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,
Chembur,2 BHK Apartment,38000,1250 sq.ft,Unfurnished,2,Missing,1,751 sq.ft,
Chembur,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,2,0,650 sq.ft,
Chembur,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,0,750 sq.ft,
Chembur,2 BHK Apartment,38000,1200 sq.ft,Unfurnished,2,1,1,754 sq.ft,
Chembur,2 BHK Apartment,38000,850 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Chembur,2 BHK Apartment,38000,700 sq.ft,Unfurnished,2,Missing,1,640 sq.ft,
Chembur,1 BHK Apartment,15000,700 sq.ft,Unfurnished,1,Missing,1,500 sq.ft,Ruaka
Chembur,2 BHK Apartment,38000,1126 sq.ft,Unfurnished,2,2,1,723 sq.ft,
Chembur,2 BHK Apartment,18000,1000 sq.ft,Unfurnished,2,Missing,,700 sq.ft,Ruaka
Chembur,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Chembur,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Chembur,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,1,1,700 sq.ft,
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2,710 sq.ft,
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2,710 sq.ft,
Chembur,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,2,2,710 sq.ft,
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Chembur,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,780 sq.ft,
Chembur,2 BHK Apartment,38000,1030 sq.ft,Unfurnished,2,2,1,715 sq.ft,
Chembur,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,4,1,600 sq.ft,
Chembur,3 BHK Apartment,38000,950 sq.ft,Unfurnished,3,Missing,1,700 sq.ft,
Dadar,1 BHK Apartment,38000,500 sq.ft,Unfurnished,1,1,0,375 sq.ft,
Dadar,1 BHK Apartment,15000,380 sq.ft,Unfurnished,2,1,0,Missing,Ruaka
Dharavi,2 BHK Apartment,38000,980 sq.ft,Unfurnished,2,Missing,0,518 sq.ft,
Fort,2 BHK Apartment,38000,520 sq.ft,Unfurnished,2,Missing,0,Missing,
Ghatkopar,2 BHK Apartment,18000,850 sq.ft,Unfurnished,2,Missing,1,Missing,Ruaka
Ghatkopar,2 BHK Apartment,38000,725 sq.ft,Unfurnished,2,Missing,2,615 sq.ft,
Ghatkopar,2 BHK Apartment,38000,850 sq.ft,Unfurnished,2,Missing,0,615 sq.ft,
Goregaon,2 BHK Apartment,18000,1050 sq.ft,Unfurnished,2,1,1,760 sq.ft,Ruaka
Goregaon,2 BHK Apartment,38000,968 sq.ft,Unfurnished,2,1,2,889 sq.ft,
Goregaon,2 BHK Apartment,38000,968 sq.ft,Unfurnished,2,1,1,874 sq.ft,
Goregaon,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Goregaon,2 BHK Apartment,18000,1100 sq.ft,Unfurnished,2,3,1,755 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,1075 sq.ft,Unfurnished,2,2,1,760 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,975 sq.ft,Unfurnished,2,Missing,1,730 sq.ft,Ruaka
Goregaon,3 BHK Apartment,28000,1278 sq.ft,Unfurnished,3,4,1,907 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,1075 sq.ft,Unfurnished,2,2,1,765 sq.ft,Ruaka
Goregaon,2 BHK Apartment,18000,1100 sq.ft,Unfurnished,2,1,1,770 sq.ft,Ruaka
Goregaon,3 BHK Apartment,38000,1440 sq.ft,Unfurnished,3,1,2,980 sq.ft,
Govandi,2 BHK Apartment,38000,1250 sq.ft,Unfurnished,2,Missing,1,825 sq.ft,
Jogeshwari,2 BHK Apartment,18000,950 sq.ft,Unfurnished,2,Missing,0,700 sq.ft,Ruaka
Jogeshwari,2 BHK Apartment,38000,816 sq.ft,Unfurnished,2,Missing,0,680 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,0,700 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1015 sq.ft,Unfurnished,2,Missing,0,700 sq.ft,
Jogeshwari,2 BHK Apartment,38000,942 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,
Jogeshwari,2 BHK Apartment,38000,768 sq.ft,Unfurnished,2,Missing,1,530 sq.ft,
Jogeshwari,2 BHK Apartment,38000,850 sq.ft,Unfurnished,2,2,1,650 sq.ft,
Jogeshwari,2 BHK Apartment,38000,850 sq.ft,Unfurnished,2,Missing,0,650 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1150 sq.ft,Unfurnished,2,3,1,Missing,
Jogeshwari,2 BHK Apartment,38000,850 sq.ft,Unfurnished,2,1,1,650 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,2,0,625 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1150 sq.ft,Unfurnished,2,3,1,Missing,
Jogeshwari,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1160 sq.ft,Unfurnished,2,1,1,714 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1130 sq.ft,Unfurnished,2,3,2,684 sq.ft,
Jogeshwari,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Jogeshwari,2 BHK Apartment,38000,852 sq.ft,Unfurnished,2,Missing,0,Missing,
Juhu,1 RK Apartment,13000,400 sq.ft,Unfurnished,1,Missing,1,350 sq.ft,Ruaka
Juhu,1 RK Apartment,13000,400 sq.ft,Unfurnished,1,Missing,0,250 sq.ft,Ruaka
Khar,1 BHK Apartment,15000,450 sq.ft,Unfurnished,1,Missing,1,300 sq.ft,Ruaka
Khar,1 RK Apartment,13000,400 sq.ft,Unfurnished,1,Missing,1,275 sq.ft,Ruaka
Kurla,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,2,0,700 sq.ft,
Kurla,2 BHK Apartment,38000,1250 sq.ft,Unfurnished,2,Missing,1,751 sq.ft,
Kurla,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,4,1,600 sq.ft,
Kurla,2 BHK Apartment,18000,800 sq.ft,Unfurnished,2,Missing,1,600 sq.ft,Ruaka
Kurla,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,0,750 sq.ft,
Kurla,2 BHK Apartment,38000,1200 sq.ft,Unfurnished,2,1,1,754 sq.ft,
Kurla,2 BHK Apartment,38000,700 sq.ft,Unfurnished,2,Missing,1,640 sq.ft,
Kurla,2 BHK Apartment,18000,1000 sq.ft,Unfurnished,2,Missing,,700 sq.ft,Ruaka
Kurla,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Kurla,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Kurla,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,1,1,700 sq.ft,
Kurla,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Kurla,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Kurla,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,750 sq.ft,
Kurla,2 BHK Apartment,38000,1040 sq.ft,Unfurnished,2,2,2,780 sq.ft,
Kurla,2 BHK Apartment,38000,1030 sq.ft,Unfurnished,2,2,1,715 sq.ft,
Kurla,3 BHK Apartment,38000,950 sq.ft,Unfurnished,3,Missing,1,700 sq.ft,
Kurla,2 BHK Apartment,38000,970 sq.ft,Unfurnished,2,Missing,1,725 sq.ft,
Kurla,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,1,725 sq.ft,
Kurla,2 BHK Apartment,38000,1000 sq.ft,Unfurnished,2,Missing,2,740 sq.ft,
Lalbaug,1 BHK Apartment,38000,610 sq.ft,Unfurnished,2,Missing,0,Missing,
Mahim,1 BHK Apartment,38000,460 sq.ft,Unfurnished,1,1,0,365 sq.ft,
Malabar Hill,1 RK Apartment,13000,300 sq.ft,Unfurnished,1,Missing,0,225 sq.ft,Ruaka
Malad,2 BHK Apartment,18000,1150 sq.ft,Unfurnished,2,Missing,2,719 sq.ft,Ruaka
Malad,1 BHK Apartment,15000,996 sq.ft,Unfurnished,2,Missing,1,582 sq.ft,Ruaka
Malad,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,1,653 sq.ft,
Malad,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,1,1,780 sq.ft,
Malad,2 BHK Apartment,18000,800 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,Ruaka
Marine Drive,1 BHK Apartment,38000,530 sq.ft,Unfurnished,2,Missing,0,450 sq.ft,
Mulund,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,1,950 sq.ft,
Mulund,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,1,1,800 sq.ft,
Mulund,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,Missing,1,647 sq.ft,
Mulund,2 BHK Apartment,18000,1050 sq.ft,Unfurnished,2,Missing,0,680 sq.ft,Ruaka
Mulund,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,0,720 sq.ft,
Mulund,2 BHK Apartment,18000,950 sq.ft,Unfurnished,2,3,0,720 sq.ft,Ruaka
Mulund,2 BHK Apartment,38000,720 sq.ft,Unfurnished,2,Missing,1,648 sq.ft,
Mulund,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,1,850 sq.ft,
Mulund,2 BHK Apartment,18000,600 sq.ft,Unfurnished,2,1,1,600 sq.ft,Ruaka
Mulund,2 BHK Apartment,18000,981 sq.ft,Unfurnished,2,Missing,1,726 sq.ft,Ruaka
Mulund,2 BHK Apartment,38000,960 sq.ft,Unfurnished,2,Missing,2,600 sq.ft,
Mulund,2 BHK Apartment,38000,1100 sq.ft,Unfurnished,2,Missing,0,743 sq.ft,
Parel,1 BHK Apartment,15000,610 sq.ft,Unfurnished,1,3,3,510 sq.ft,Ruaka
Parel,1 BHK Apartment,38000,610 sq.ft,Unfurnished,2,Missing,0,Missing,
Parel,1 BHK Apartment,38000,570 sq.ft,Unfurnished,1,Missing,0,410 sq.ft,
Parel,1 BHK Apartment,38000,570 sq.ft,Unfurnished,1,Missing,0,410 sq.ft,
Parel,1 BHK Apartment,38000,570 sq.ft,Unfurnished,1,Missing,0,410 sq.ft,
Parel,1 BHK Apartment,38000,530 sq.ft,Unfurnished,1,Missing,0,410 sq.ft,
Parel,1 BHK Apartment,38000,555 sq.ft,Unfurnished,1,Missing,0,Missing,
Powai,2 BHK Apartment,38000,1050 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Powai,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,1,1,Missing,
Powai,2 BHK Apartment,38000,910 sq.ft,Unfurnished,2,1,1,645 sq.ft,
Powai,1 BHK Apartment,15000,700 sq.ft,Unfurnished,1,Missing,1,Missing,Ruaka
Powai,2 BHK Apartment,38000,970 sq.ft,Unfurnished,2,1,1,630 sq.ft,
Powai,2 BHK Apartment,18000,960 sq.ft,Unfurnished,2,Missing,1,650 sq.ft,Ruaka
Powai,2 BHK Apartment,38000,950 sq.ft,Unfurnished,2,1,1,Missing,
Powai,1 BHK Apartment,15000,600 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Ruaka
Powai,2 BHK Apartment,18000,1020 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,Ruaka
Powai,2 BHK Apartment,18000,1000 sq.ft,Unfurnished,2,Missing,0,700 sq.ft,Ruaka
Powai,2 BHK Apartment,38000,1080 sq.ft,Unfurnished,2,2,1,700 sq.ft,
Powai,2 BHK Apartment,38000,964 sq.ft,Unfurnished,2,1,1,Missing,
Powai,1 RK Apartment,13000,630 sq.ft,Unfurnished,2,1,1,465 sq.ft,Ruaka
Powai,2 BHK Apartment,18000,1050 sq.ft,Unfurnished,2,Missing,1,750 sq.ft,Ruaka
Powai,2 BHK Apartment,38000,910 sq.ft,Unfurnished,2,1,1,690 sq.ft,
Powai,2 BHK Apartment,18000,1000 sq.ft,Unfurnished,2,Missing,1,600 sq.ft,Ruaka
Powai,1 BHK Apartment,15000,650 sq.ft,Unfurnished,2,Missing,1,Missing,Ruaka
Powai,1 BHK Apartment,15000,450 sq.ft,Unfurnished,2,Missing,1,Missing,Ruaka
Powai,2 BHK Apartment,18000,714 sq.ft,Unfurnished,2,1,1,Missing,Ruaka
Powai,1 BHK Apartment,15000,600 sq.ft,Unfurnished,2,Missing,1,410 sq.ft,Ruaka
Prabhadevi,1 BHK Apartment,15000,400 sq.ft,Unfurnished,1,Missing,0,Missing,Ruaka
Santacruz,1 RK Apartment,13000,540 sq.ft,Unfurnished,1,Missing,1,460 sq.ft,Ruaka
Sion,2 BHK Apartment,38000,750 sq.ft,Unfurnished,2,Missing,0,550 sq.ft,
Sion,3 BHK Apartment,28000,1076 sq.ft,Unfurnished,2,1,1,730 sq.ft,Ruaka
Sion,1 BHK Apartment,15000,600 sq.ft,Unfurnished,1,1,1,500 sq.ft,Ruaka
Sion,1 BHK Apartment,38000,550 sq.ft,Unfurnished,2,1,1,450 sq.ft,
Sion,1 BHK Apartment,15000,650 sq.ft,Unfurnished,2,Missing,0,500 sq.ft,Ruaka
Tardeo,1 RK Apartment,13000,280 sq.ft,Unfurnished,1,Missing,0,Missing,Ruaka
Vikhroli,2 BHK Apartment,38000,900 sq.ft,Unfurnished,2,Missing,1,720 sq.ft,
Vikhroli,1 BHK Apartment,15000,550 sq.ft,Unfurnished,1,Missing,1,495 sq.ft,Ruaka
Vikhroli,1 BHK Apartment,15000,540 sq.ft,Unfurnished,1,Missing,1,475 sq.ft,Ruaka
Vikhroli,1 BHK Apartment,38000,650 sq.ft,Unfurnished,1,1,2,Missing,
Vikhroli,2 BHK Apartment,38000,800 sq.ft,Unfurnished,2,Missing,1,700 sq.ft,
Vile Parle,1 BHK Apartment,38000,600 sq.ft,Unfurnished,2,Missing,1,500 sq.ft,
Vile Parle,1 BHK Apartment,38000,600 sq.ft,Unfurnished,2,Missing,0,350 sq.ft,
Vile Parle,1 BHK Apartment,38000,600 sq.ft,Unfurnished,2,1,0,500 sq.ft,
Vile Parle,1 BHK Apartment,15000,600 sq.ft,Unfurnished,2,Missing,0,475 sq.ft,Ruaka
Vile Parle,1 BHK Apartment,15000,560 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Ruaka
Vile Parle,1 BHK Apartment,15000,450 sq.ft,Unfurnished,1,Missing,1,Missing,Ruaka
Vile Parle,1 BHK Apartment,38000,675 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,
Vile Parle,1 BHK Apartment,15000,710 sq.ft,Unfurnished,1,Missing,1,610 sq.ft,Ruaka
Wadala,1 BHK Apartment,15000,550 sq.ft,Unfurnished,1,Missing,1,450 sq.ft,Ruaka
Worli,1 BHK Apartment,15000,500 sq.ft,Unfurnished,1,Missing,0,400 sq.ft,Ruaka
Worli,1 BHK Apartment,15000,476 sq.ft,Unfurnished,1,Missing,1,400 sq.ft,Ruaka
Worli,1 BHK Apartment,15000,550 sq.ft,Unfurnished,1,Missing,1,Missing,Ruaka
Chembur,1 BHK Apartment,15000,688 sq.ft,Unfurnished,2,1,1,478 sq.ft,Ruaka
Dadar,1 BHK Apartment,37500,524 sq.ft,Unfurnished,1,Missing,0,430 sq.ft,
Ghatkopar,2 BHK Apartment,37500,840 sq.ft,Unfurnished,2,Missing,1,670 sq.ft,
Jogeshwari,2 BHK Apartment,37500,940 sq.ft,Unfurnished,2,2,1,716 sq.ft,
Andheri,1 BHK Apartment,12000,650 sq.ft,Unfurnished,2,1,1,485 sq.ft,Kasarani
Andheri,1 BHK Apartment,22000,650 sq.ft,Unfurnished,2,1,2,450 sq.ft,Langata
